month,tickets_opened,tickets_resolved,backlog_end,handling_hours
2024-01-01,1391,1303,268,2063.8
2024-02-01,1077,1034,311,1644.5
2024-03-01,1085,1077,319,1857.6
2024-04-01,1133,1136,316,1937.3
2024-05-01,1166,1065,417,1726.2
2024-06-01,1131,1049,499,1786.6
2024-07-01,1167,1175,491,1919.7
2024-08-01,1162,1081,572,1771.8
2024-09-01,1334,1279,627,1822.3
2024-10-01,1221,1222,626,1993.3
2024-11-01,1382,1251,757,2063.3
2024-12-01,1382,1335,804,2326.7
2025-01-01,1577,1606,775,2413.6
2025-02-01,1329,1202,902,1818.8
2025-03-01,1302,1201,1003,1726.3
2025-04-01,1399,1401,1001,2382.5
2025-05-01,1399,1308,1092,1987.1
2025-06-01,1403,1413,1082,2315.1
2025-07-01,1439,1415,1106,2167.6
2025-08-01,1440,1418,1128,2200.8
2025-09-01,1524,1418,1234,1930.9
2025-10-01,1344,1284,1294,1929.6
2025-11-01,1526,1499,1321,2565.5
2025-12-01,1395,1324,1392,2183.1
